Components,Melting Temperature,Delta elec,SMILES
"1,2,3,4,5-pentamethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",391.1,2.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.CN1C(=[N+](C(=C1C)C)C)C
tetraethyammonium bis[(pentafluoroethyl)sulfonyl]imide,356.1,2.0,
"1-ethyl-3-methylimidazolium 1,1,2,2,2-pentafluoro-N-[(pentafluoroethyl)sulfonyl]ethanesulfonamide",272.1,2.0,FC(C(F)(F)F)(S(=O)(=O)NS(=O)(=O)C(C(F)(F)F)(F)F)F.C(C)N1C=[N+](C=C1)C
"1-ethyl-2,3-dimethylimidazolium bis[(pentafluoroethyl)sulfonyl]imide",298.1,2.0,[N-](S(=O)(=O)C(F)(F)C(F)(F)F)S(=O)(=O)C(F)(F)C(F)(F)F.C(C)N1C(=[N+](C=C1)C)C
1-methyl-3-(1-methylethyl)imidazolium hexafluorophosphate,375.1,2.0,F[P-](F)(F)(F)(F)F.CN1C=[N+](C=C1)C(C)C
tetrabutylammonium tris[(trifluoromethyl)sulfonyl]methide,332.1,2.0,[C-](S(=O)(=O)C(F)(F)F)(S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCC)[N+](CCCC)(CCCC)CCCC
"1-ethyl-3-methyl-2,3-dihydro-1H-imidazol-1-ium tris[(trifluoromethyl)sulfonyl]methanide",312.1,2.0,FC(S(=O)(=O)[C-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)(F)F.C(C)[NH+]1CN(C=C1)C
1-ethyl-3-methylimidazolium chloride,362.1,2.0,[Cl-].C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium bromide,352.1,2.0,[Br-].C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium iodide,352.1,2.0,[I-].C(C)N1C=[N+](C=C1)C
1-methyl-3-propylimidazolium chloride,333.1,2.0,[Cl-].CN1C=[N+](C=C1)CCC
1-methyl-3-(1-methylethyl)imidazolium iodide,387.1,2.0,[I-].CN1C=[N+](C=C1)C(C)C
"1-ethyl-2,3-dimethylimidazolium bromide",414.1,2.0,[Br-].C(C)N1C(=[N+](C=C1)C)C
"1,2-dimethyl-3-propylimidazolium chloride",411.1,2.0,[Cl-].CN1C(=[N+](C=C1)CCC)C
tetraethylammonium tetrafluoroborate,345.1,2.0,F[B-](F)(F)F.C(C)[N+](CC)(CC)CC
1-ethyl-3-methylimidazolium tetrafluoroborate,284.1,2.0,F[B-](F)(F)F.C(C)N1C=[N+](C=C1)C
tetraethylammonium hexafluorophosphate,343.1,2.0,F[P-](F)(F)(F)(F)F.C(C)[N+](CC)(CC)CC
1-ethyl-3-methylimidazolium hexafluorophosphate,335.1,2.0,F[P-](F)(F)(F)(F)F.C(C)N1C=[N+](C=C1)C
1-methyl-3-propylimidazolium hexafluorophosphate,313.1,2.0,F[P-](F)(F)(F)(F)F.CN1C=[N+](C=C1)CCC
1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,258.1,2.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(C)N1C=[N+](C=C1)C
tetrabutylammonium bis[(trifluoromethyl)sulfonyl]imide,363.1,2.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCC)[N+](CCCC)(CCCC)CCCC
1-ethyl-3-methylimidazolium hexafluoroarsenate,326.1,2.0,F[As-](F)(F)(F)(F)F.C(C)N1C=[N+](C=C1)C
"1,2-dimethyl-3-propylimidazolium hexafluorophosphate",351.1,2.0,F[P-](F)(F)(F)(F)F.CN1C(=[N+](C=C1)CCC)C
tetraethylammonium tris[(trifluoromethyl)sulfonyl]methide,319.1,2.0,[C-](S(=O)(=O)C(F)(F)F)(S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(C)[N+](CC)(CC)CC
1-butyl-2-methylpyridinium tetrafluoroborate,301.3,1.1,F[B-](F)(F)F.C(CCC)[N+]1=C(C=CC=C1)C
N-butyl-4-methylpyridinium tosylate,324.86,0.39,S(=O)(=O)([O-])C1=CC=C(C)C=C1.C(CCC)[N+]1=CC=C(C=C1)C
1-butyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,291.4,0.5,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)[N+]1=CC=C(C=C1)C
triethylsulfonium bis((trifluoromethyl)sulfonyl)imide,262.8,0.5,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(C)[S+](CC)CC
"2,4,6-trimethylpyridinium 4-methylbenzenesulfonate",403.7,0.5,CC1=CC=C(C=C1)S(=O)(=O)[O-].CC1=[NH+]C(=CC(=C1)C)C
1-butyl-3-methylpyridinium 4-methylbenzenesulfonate,323.7,0.5,CC1=CC=C(C=C1)S(=O)(=O)[O-].C(CCC)[N+]1=CC(=CC=C1)C
1-hexyl-3-methylpyridinium 4-methylbenzenesulfonate,329.3,0.5,CC1=CC=C(C=C1)S(=O)(=O)[O-].C(CCCCC)[N+]1=CC(=CC=C1)C
"1,4-dimethylpyridinium 4-methylbenzenesulfonate",424.8,0.5,CC1=CC=C(C=C1)S(=O)(=O)[O-].C[N+]1=CC=C(C=C1)C
"1,3-dimethylimidazolium chloride",399.1,4.0,[Cl-].CN1C=[N+](C=C1)C
1-methylimidazolium nitrate,343.6,2.0,[N+](=O)([O-])[O-].CN1C=[NH+]C=C1
"1-butyl-2,3-dimethylimidazolium chloride",365.9,1.1,[Cl-].C(CCC)N1C(=[N+](C=C1)C)C
cesium dinitramide,359.6,3.0,N[N+](=O)[O-].N[N+](=O)[O-].[Cs]
1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,265.15,0.5,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCC)[N+]1(CCCC1)C
1-methyl-1-propylpiperidinium bromide,523.0,1.0,[Br-].C[N+]1(CCCCC1)CCC
"1-carboxy-N,N,N-trimethylmethanaminium bis((trifluoromethyl)sulfonyl)amide",330.0,1.0,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(=O)(O)C[N+](C)(C)C
1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,271.4,0.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(C)N1C=[N+](C=C1)C
3-methyl-1-octadecyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,327.1,0.0,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C[N+]1=CN(C=C1)CCCCCCCCCCCCCCCCCC
1-ethylpyridinium hexafluorophosphate,376.35,0.41,F[P-](F)(F)(F)(F)F.C(C)[N+]1=CC=CC=C1
S-ethyltetrahydrothiophenium bis(trifluoromethylsulfonyl)imide,342.1,4.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(C)[S+]1CCCC1
S-ethyltetrahydrothiophenium bis(trifluoromethylsulfonyl)imide,339.35,0.5,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(C)[S+]1CCCC1
1-propyltetrahydro-1H-thiophen-1-ium bis((trifluoromethyl)sulfonyl)amide,297.1,1.0,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CC)[S+]1CCCC1
"1-decyl-2,3-dimethylimidazolium bromide",341.35,0.5,[Br-].C(CCCCCCCCC)N1C(=[N+](C=C1)C)C
"1-butyl-2,3-dimethylimidazolium bromide",349.66,0.5,[Br-].C(CCC)N1C(=[N+](C=C1)C)C
"1-butyl-2,3-dimethylimidazolium chloride",365.89,0.5,[Cl-].C(CCC)N1C(=[N+](C=C1)C)C
1-hexadecyl-3-methylimidazolium bromide,337.06,0.5,[Br-].C(CCCCCCCCCCCCCCC)N1C=[N+](C=C1)C
2-hydroxyethanaminium tetrafluoroborate,306.76,0.5,F[B-](F)(F)F.OCC[NH3+]
tris(2-hydroxyethyl)ammonium tetrafluoroborate,345.26,0.5,F[B-](F)(F)F.OCC[NH+](CCO)CCO
diethanolammonium tetrafluoroborate,303.84,0.5,
"1-hexadecyl-2,3-dimethylimidazolium bromide",371.7,0.5,[Br-].C(CCCCCCCCCCCCCCC)N1C(=[N+](C=C1)C)C
1-decyl-3-methylimidazolium bromide,347.58,0.5,[Br-].C(CCCCCCCCC)N1C=[N+](C=C1)C
1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,265.8,1.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCCCC)N1C=[N+](C=C1)C
1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,272.11,0.29,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCCCC)N1C=[N+](C=C1)C
"1,3-dimethylimidazolium methylsulfate",308.9,3.1,COS(=O)(=O)[O-].CN1C=[N+](C=C1)C
pentylammonium formate,285.1,1.0,C(=O)[O-].C(CCCC)[NH3+]
propylammonium formate,323.1,5.0,C(=O)[O-].C(CC)[NH3+]
ethylammonium formate,258.1,5.0,C(=O)[O-].C(C)[NH3+]
2-methylpropylammonium formate,299.1,5.0,C(=O)[O-].CC(C[NH3+])C
2-methylbutylammonium formate,272.1,5.0,C(=O)[O-].CC(C[NH3+])CC
3-methylbutylammonium formate,320.1,5.0,C(=O)[O-].CC(CC[NH3+])C
ethanolammonium methyl sulfate,372.1,5.0,
ethylammonium nitrate,282.1,1.0,[N+](=O)([O-])[O-].C(C)[NH3+]
ethylammonium acetate,360.1,1.0,C(C)(=O)[O-].C(C)[NH3+]
ethylammonium hydrogen sulfate,313.1,5.0,S(=O)(=O)(O)[O-].C(C)[NH3+]
ethanolammonium glycolate,379.1,5.0,
methanaminium formate,286.1,5.0,C(=O)[O-].C[NH3+]
ethanolammonium nitrate,324.1,5.0,
butylammonium formate,275.1,5.0,C(=O)[O-].C(CCC)[NH3+]
1-butyl-3-methylimidazolium chloride,340.1,2.0,[Cl-].C(CCC)N1C=[N+](C=C1)C
tetrabutylammonium chloride,314.1,0.0,[Cl-].C(CCC)[N+](CCCC)(CCCC)CCCC
1-butyl-4-methylpyridinium trifluoromethanesulfonate,311.1,2.0,FC(S(=O)(=O)[O-])(F)F.C(CCC)[N+]1=CC=C(C=C1)C
1-octyl-3-methylimidazolium trifluoromethanesulfonate,278.1,2.0,FC(S(=O)(=O)[O-])(F)F.C(CCCCCCC)N1C=[N+](C=C1)C
1-butyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,283.1,2.0,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)[N+]1=CC=C(C=C1)C
1-methyl-3-octylimidazolium perfluorobutanesulfonate,305.1,2.0,FC(C(C(C(F)(F)F)(F)F)(F)F)(S(=O)(=O)[O-])F.CN1C=[N+](C=C1)CCCCCCCC
1-butyl-3-methylimidazolium trifluoromethanesulfonate,288.1,2.0,FC(S(=O)(=O)[O-])(F)F.C(CCC)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,269.1,2.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCC)N1C=[N+](C=C1)C
"1-butyl-4-methylpyridinium 1,1,2,2,3,3,4,4,4-nonafluoro-1-butanesulfonate",343.1,2.0,FC(C(C(C(F)(F)F)(F)F)(F)F)(S(=O)(=O)[O-])F.C(CCC)[N+]1=CC=C(C=C1)C
3-methyl-1-octylimidazolium dicyanamide,268.1,2.0,[N-](C#N)C#N.C[N+]1=CN(C=C1)CCCCCCCC
tetrabutylammonium chloride,359.1,0.0,[Cl-].C(CCC)[N+](CCCC)(CCCC)CCCC
butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,292.1,6.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCC)[N+](C)(C)C
1-butyl-1-methylpyrrolidinium bis(fluorosulfonyl)amide,258.1,6.0,FS(=O)(=O)[N-]S(=O)(=O)F.C(CCC)[N+]1(CCCC1)C
1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide,299.1,6.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCC)[N+]1=CC=CC=C1
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,270.1,6.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCC)N1C=[N+](C=C1)C
1-butylpyridinium bis[(trifluoromethyl)sulfonyl]imide,299.1,6.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCC)[N+]1=CC=CC=C1
1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,258.1,6.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCC)[N+]1(CCCC1)C
1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,267.1,6.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCCCC)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,255.2,2.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(C)N1C=[N+](C=C1)C
butyltrimethylammonium bis(trifluoromethylsulfonyl)imide,292.1,6.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCC)[N+](C)(C)C
1-butyl-3-methylimidazolium hexafluorophosphate,283.1,6.0,F[P-](F)(F)(F)(F)F.C(CCC)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium trifluoromethanesulfonate,290.1,6.0,FC(S(=O)(=O)[O-])(F)F.C(CCC)N1C=[N+](C=C1)C
"1,3-dimethylimidazolium bis((trifluoromethyl)sulfonyl)amide",299.1,6.0,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.CN1C=[N+](C=C1)C
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,270.1,6.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCC)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium chloride,340.0,2.0,[Cl-].C(CCC)N1C=[N+](C=C1)C
1-methyl-1-propylpyrrolidinium dicyanamide,256.1,1.0,[N-](C#N)C#N.C[N+]1(CCCC1)CCC
1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,256.1,1.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCC)[N+]1(CCCC1)C
1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,274.1,1.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCCCC)[N+]1(CCCC1)C
1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,282.1,1.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C[N+]1(CCCC1)CCC
1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,274.1,1.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(C)N1C=[N+](C=C1)C
"1-butyl-3-methylimidazolium 1,5-bis(hexyloxy)-3-((hexyloxy)carbonyl)-1,5-dioxopentane-2-sulfonate",251.2,1.0,C(CCCCC)OC(C(C(CC(=O)OCCCCCC)C(=O)OCCCCCC)S(=O)(=O)[O-])=O.C(CCC)N1C=[N+](C=C1)C
"1-butyl-3-methyl-1H-imidazolium 1,4-bis((2-ethylhexyl)oxy)-1,4-dioxobutane-2-sulfonate",254.2,1.0,C(C)C(COC(C(CC(=O)OCC(CCCC)CC)S(=O)(=O)[O-])=O)CCCC.C(CCC)N1C=[N+](C=C1)C
1-hexyl-3-methylpyridinium trifluoromethanesulfonate,337.76,0.39,FC(S(=O)(=O)[O-])(F)F.C(CCCCC)[N+]1=CC(=CC=C1)C
1-hexyl-3-methylpyridinium trifluoromethanesulfonate,336.0,0.1,FC(S(=O)(=O)[O-])(F)F.C(CCCCC)[N+]1=CC(=CC=C1)C
"1-hexyl-1',2,2',3,3',4,4',5-octamethylferrocenium tetracyanoethylenide",354.05,0.5,
"1-butyl-1',2,2',3,3',4,4',5-octamethylferrocenium, tetracyanoethylenide",373.35,0.5,
"1-butyl-1',2,2',3,3',4,4',5-octamethylferrocenium bis(trifluoromethylsulfonyl)amide",307.55,0.5,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCC)C1C(=C(C(=C1C)C)C)C.C[C-]1C(=C(C(=C1)C)C)C.[Fe+2]
"1-hexyl-1',2,2',3,3',4,4',5-octamethylferrocenium bis(trifluoromethylsulfonyl)amide",300.85,0.5,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.C(CCCCC)C1C(=C(C(=C1C)C)C)C.C[C-]1C(=C(C(=C1)C)C)C.[Fe+2]
lithium bis((trifluoromethyl)sulfonyl)amide,507.1,2.0,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.[Li+]
1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,256.9,2.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(C)N1C=[N+](C=C1)C
1-(2-methoxyethyl)-1-methylpyrrolidinium tris(pentafluoroethyl)trifluorophosphate,273.3,1.0,
1-allyl-3-methylimidazolium chloride,307.5,0.0,[Cl-].C(C=C)N1C=[N+](C=C1)C
choline pivalate,369.1,1.0,C(C(C)(C)C)(=O)OCC[N+](C)(C)C
1-((heptyloxy)methyl)pyridinium N-cyclohexylsulfamate,259.05,0.5,C1(CCCCC1)NS([O-])(=O)=O.C(CCCCCC)OC[N+]1=CC=CC=C1
1-((dodecyloxy)methyl)pyridinium N-cyclohexylsulfamate,305.65,0.5,C1(CCCCC1)NS([O-])(=O)=O.C(CCCCCCCCCCC)OC[N+]1=CC=CC=C1
1-dodecylpyridinium N-cyclohexylsulfamate,388.45,0.5,C1(CCCCC1)NS([O-])(=O)=O.C(CCCCCCCCCCC)[N+]1=CC=CC=C1
1-((hexyloxy)methyl)pyridinium N-cyclohexylsulfamate,238.2,1.0,C1(CCCCC1)NS([O-])(=O)=O.C(CCCCC)OC[N+]1=CC=CC=C1
1-((undecyloxy)methyl)pyridinium N-cyclohexylsulfamate,297.35,0.5,C1(CCCCC1)NS([O-])(=O)=O.C(CCCCCCCCCC)OC[N+]1=CC=CC=C1
1-((nonyloxy)methyl)pyridinium N-cyclohexylsulfamate,281.75,0.5,C1(CCCCC1)NS([O-])(=O)=O.C(CCCCCCCC)OC[N+]1=CC=CC=C1
1-hexadecylpyridinium N-cyclohexylsulfamate,377.65,0.5,C1(CCCCC1)NS([O-])(=O)=O.C(CCCCCCCCCCCCCCC)[N+]1=CC=CC=C1
"N-decyl-N,N-dimethyldecan-1-aminium N-cyclohexylsulfamate",323.55,0.5,C1(CCCCC1)NS([O-])(=O)=O.C(CCCCCCCCC)[N+](CCCCCCCCCC)(C)C
1-butyl-3-methyl-1H-imidazolium N-cyclohexylsulfamate,345.55,0.5,C1(CCCCC1)NS([O-])(=O)=O.C(CCC)N1C=[N+](C=C1)C
"N,N-dibutyl-N-methyl-1-butanaminium methyl sulfate",335.1,2.0,S(=O)(=O)(OC)[O-].C(CCC)[N+](CCCC)(C)CCCC
tributylmethylphosphonium methyl sulfate,311.1,2.0,S(=O)(=O)(OC)[O-].C(CCC)[P+](C)(CCCC)CCCC
1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,265.7,0.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCC)[N+]1(CCCC1)C
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,270.4,0.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCC)N1C=[N+](C=C1)C
1-butylpyridinium chloride,393.3,0.0,[Cl-].C(CCC)[N+]1=CC=CC=C1
1-ethyl-3-methylimidazolium iodide,350.0,1.0,[I-].C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium bromide,345.0,1.0,[Br-].C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium hexafluorophosphate,333.0,1.0,F[P-](F)(F)(F)(F)F.C(C)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium 4-methylbenzenesulfonate,328.0,1.0,CC1=CC=C(C=C1)S(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C
1-hexadecyl-3-methylimidazolium tetrafluoroborate,330.0,1.0,F[B-](F)(F)F.C(CCCCCCCCCCCCCCC)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium tetrafluoroborate,288.0,1.0,F[B-](F)(F)F.C(C)N1C=[N+](C=C1)C
1-decyl-3-methylimidazolium tetrafluoroborate,280.0,1.0,F[B-](F)(F)F.C(CCCCCCCCC)N1C=[N+](C=C1)C
1-dodecyl-3-methylimidazolium tetrafluoroborate,305.0,1.0,F[B-](F)(F)F.C(CCCCCCCCCCC)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium chloride,360.0,1.0,[Cl-].C(C)N1C=[N+](C=C1)C
1-octylquinolinium bis[(trifluoromethyl)sulfonyl]imide,321.3,1.1,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCCCCCC)[N+]1=CC=CC2=CC=CC=C12
trihexyl(tetradecyl)phosphonium bis[(trifluoromethyl)sulfonyl]imide,306.1,1.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCCCC)[P+](CCCCCCCCCCCCCC)(CCCCCC)CCCCCC
tetrabutylphosphonium methanesulfonate,335.35,0.5,CS(=O)(=O)[O-].C(CCC)[P+](CCCC)(CCCC)CCCC
"1,3-dimethylimidazolium methylsulfate",308.9,0.5,COS(=O)(=O)[O-].CN1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium 4-methylbenzenesulfonate,322.93,0.5,CC1=CC=C(C=C1)S(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C
(2-hydroxyethyl)-dimethylundecyloxymethylammonium dicyanamide,283.5,0.5,[N-](C#N)C#N.OCC[N+](COCCCCCCCCCCC)(C)C
(2-decanoyloxyethyl)dimethylpentyloxymethylammonium trifluoroacetate,279.8,0.5,FC(C(=O)[O-])(F)F.C(CCCCCCCCC)(=O)OCC[N+](COCCCCC)(C)C
1-ethyl-3-methylimidazolium 4-methylbenzenesulfonate,322.9,0.5,CC1=CC=C(C=C1)S(=O)(=O)[O-].C(C)N1C=[N+](C=C1)C
"N-(2-hydroxyethyl)-N,N-dimethylhexan-1-aminium bromide",355.5,0.5,[Br-].OCC[N+](CCCCCC)(C)C
Didecyldimethylammonium nitrate,304.8,4.0,[N+](=O)([O-])[O-].C(CCCCCCCCC)[N+](C)(C)CCCCCCCCCC
1-butyl-3-methylimidazolium methyl sulfate,269.1,1.0,S(=O)(=O)(OC)[O-].C(CCC)N1C=[N+](C=C1)C
choline glycolate,311.1,5.0,C(CO)(=O)OCC[N+](C)(C)C
choline benzoate,320.1,5.0,C(C1=CC=CC=C1)(=O)OCC[N+](C)(C)C
tributylmethylammonium trifluoromethanesulfonate,360.4,1.1,FC(S(=O)(=O)[O-])(F)F.C(CCC)[N+](C)(CCCC)CCCC
ethylammonium hydrogen sulfate,312.9,1.1,S(=O)(=O)(O)[O-].C(C)[NH3+]
diethylammonium hydrogen sulfate,333.6,1.1,S(=O)(=O)(O)[O-].C(C)[NH2+]CC
N-ethylpiperidinium methanesulfonate,340.8,1.1,CS(=O)(=O)[O-].C(C)[NH+]1CCCCC1
diethylmethylammonium methanesulfonate,283.8,1.1,CS(=O)(=O)[O-].C(C)[NH+](C)CC
tributylmethylammonium hydrogen sulfate,369.6,1.1,S(=O)(=O)(O)[O-].C(CCC)[N+](C)(CCCC)CCCC
trihexylammonium hydrogen sulfate,301.9,1.1,S(=O)(=O)(O)[O-].C(CCCCC)[NH+](CCCCCC)CCCCCC
triethylammonium hydrogen sulfate,347.9,1.1,S(=O)(=O)(O)[O-].C(C)[NH+](CC)CC
N-ethylpiperidinium trifluoromethanesulfonate,325.1,1.0,FC(S(=O)(=O)[O-])(F)F.C(C)[NH+]1CCCCC1
trihexylammonium trifluoromethanesulfonate,272.1,1.1,FC(S(=O)(=O)[O-])(F)F.C(CCCCC)[NH+](CCCCCC)CCCCCC
diethylmethylammonium trifluoromethanesulfonate,260.1,1.1,FC(S(=O)(=O)[O-])(F)F.C(C)[NH+](C)CC
dimethylethylammonium trifluoromethanesulfonate,314.8,1.1,FC(S(=O)(=O)[O-])(F)F.C[NH+](CC)C
tributylmethylammonium methanesulfonate,351.1,1.0,CS(=O)(=O)[O-].C(CCC)[N+](C)(CCCC)CCCC
diethylmethylammonium bis(trifluoromethylsulfonyl)imide,297.1,1.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(C)[NH+](C)CC
dimethylethylammonium bis(trifluoromethylsulfonyl)imide,338.8,1.1,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C[NH+](CC)C
piperidinium hydrogen phosphonate,356.1,1.1,P(O)([O-])=O.[NH2+]1CCCCC1
1-butyl-3-methylimidazolium bromide,350.8,0.5,[Br-].C(CCC)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium chloride,338.0,2.0,[Cl-].C(CCC)N1C=[N+](C=C1)C
tetrabutylphosphonium chloride,337.1,6.0,[Cl-].C(CCC)[P+](CCCC)(CCCC)CCCC
"N,N,N-trihexyl-1-hexanaminium tetrafluoroborate",364.1,6.0,F[B-](F)(F)F.C(CCCCC)[N+](CCCCCC)(CCCCCC)CCCCCC
"N,N,N-triheptyl-1-heptanaminium bromide",363.1,6.0,[Br-].C(CCCCCC)[N+](CCCCCCC)(CCCCCCC)CCCCCCC
1-methyl-3-octadecylimidazolium hexafluorophosphate,353.1,6.0,F[P-](F)(F)(F)(F)F.CN1C=[N+](C=C1)CCCCCCCCCCCCCCCCCC
1-dodecyl-3-methylimidazolium hexafluorophosphate,333.1,6.0,F[P-](F)(F)(F)(F)F.C(CCCCCCCCCCC)N1C=[N+](C=C1)C
1-methyl-3-oleylimidazolium tetrafluoroborate,288.1,6.0,F[B-](F)(F)F.CN1C=[N+](C=C1)CCCCCCCC\C=C/CCCCCCCC
1-butyl-3-methylimidazolium hexafluorophosphate,284.1,6.0,F[P-](F)(F)(F)(F)F.C(CCC)N1C=[N+](C=C1)C
1-benzyl-3-methylimidazolium tetrafluoroborate,350.1,6.0,F[B-](F)(F)F.C(C1=CC=CC=C1)N1C=[N+](C=C1)C
1-benzyl-3-methyl-1H-imidazolium chloride,343.1,6.0,[Cl-].C(C1=CC=CC=C1)N1C=[N+](C=C1)C
1-dodecyl-3-methylimidazolium tetrafluoroborate,299.1,6.0,F[B-](F)(F)F.C(CCCCCCCCCCC)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium nitrate,311.1,6.0,[N+](=O)([O-])[O-].C(C)N1C=[N+](C=C1)C
"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",311.1,6.0,F[B-](F)(F)F.C(CCC)N1C(=[N+](C=C1)C)C
1-allyl-3-methylimidazolium chloride,328.1,6.0,[Cl-].C(C=C)N1C=[N+](C=C1)C
