Components,Melting Temperature,Delta elec,SMILES
1-ethyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,359.1,4.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(C)[N+]1(CCCC1)C
1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,255.1,4.0,[N-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F.C(CCC)[N+]1(CCCC1)C
"pyridinium, 4-(1-hexadecylheptadecyl)-1-methyl-, chloride",337.1,1.0,[Cl-].C(CCCCCCCCCCCCCCC)C(CCCCCCCCCCCCCCCC)C1=CC=[N+](C=C1)C
"pyridinium, 4-(1-hexadecylheptadecyl)-1-methyl-, iodide",345.1,1.0,[I-].C(CCCCCCCCCCCCCCC)C(CCCCCCCCCCCCCCCC)C1=CC=[N+](C=C1)C
4-dodecylpyridium chloride,397.1,2.0,
4-dodecylpyridium iodide,365.4,1.0,
4-dodecyl-1-methylpyridinium chloride,323.9,1.5,[Cl-].C(CCCCCCCCCCC)C1=CC=[N+](C=C1)C
4-dodecyl-1-methylpyridinium perchlorate,365.9,3.0,Cl(=O)(=O)(=O)[O-].C(CCCCCCCCCCC)C1=CC=[N+](C=C1)C
4-nonylpyridium chloride,392.6,1.5,
4-dodecyl-1-methylpyridinium iodide,386.15,0.6,[I-].C(CCCCCCCCCCC)C1=CC=[N+](C=C1)C
"1,3-dimethylimidazolium chloride",399.4,2.0,[Cl-].CN1C=[N+](C=C1)C
1-methyl-3-propylimidazolium chloride,335.1,2.0,[Cl-].CN1C=[N+](C=C1)CCC
1-ethyl-3-methylimidazolium chloride,358.1,4.0,[Cl-].C(C)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium chloride,340.1,2.0,[Cl-].C(CCC)N1C=[N+](C=C1)C
tetraphenylphosphonium chloride,547.1,1.0,[Cl-].C1(=CC=CC=C1)[P+](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1
tetrabutylammonium chloride,349.1,0.0,[Cl-].C(CCC)[N+](CCCC)(CCCC)CCCC
tetrabutylammonium perchlorate,487.6,1.0,Cl(=O)(=O)(=O)[O-].C(CCC)[N+](CCCC)(CCCC)CCCC
tetrapropylammonium perchlorate,514.1,1.0,Cl(=O)(=O)(=O)[O-].C(CC)[N+](CCC)(CCC)CCC
tetrahexylammonium nitrate,335.1,1.0,[N+](=O)([O-])[O-].C(CCCCC)[N+](CCCCCC)(CCCCCC)CCCCCC
tetrapentylammonium perchlorate,389.1,1.0,Cl(=O)(=O)(=O)[O-].C(CCCC)[N+](CCCCC)(CCCCC)CCCCC
tetrapentylammonium nitrate,383.6,1.0,[N+](=O)([O-])[O-].C(CCCC)[N+](CCCCC)(CCCCC)CCCCC
tetrahexylammonium perchlorate,377.1,1.0,Cl(=O)(=O)(=O)[O-].C(CCCCC)[N+](CCCCCC)(CCCCCC)CCCCCC
tetrahexylammonium iodide,375.6,1.0,[I-].C(CCCCC)[N+](CCCCCC)(CCCCCC)CCCCCC
8-phenyloctylammonium nitrate,345.1,2.0,[N+](=O)([O-])[O-].C1(=CC=CC=C1)CCCCCCCC[NH3+]
difluorogermylene,385.1,1.0,F[Ge]F
"1-heptanaminium, N-heptyl-N,N-dihexyl- iodide",373.15,0.5,[I-].C(CCCCCC)[N+](CCCCCCC)(CCCCCC)CCCCCC
"1-heptanaminium, N-heptyl-N,N-dihexyl- perchlorate",378.15,0.5,Cl(=O)(=O)(=O)[O-].C(CCCCCC)[N+](CCCCCCC)(CCCCCC)CCCCCC
"N,N,N-triheptylheptan-1-aminium perchlorate",399.15,0.5,Cl(=O)(=O)(=O)[O-].C(CCCCCC)[N+](CCCCCCC)(CCCCCCC)CCCCCCC
tetrahexylammonium bromide,377.15,0.5,[Br-].C(CCCCC)[N+](CCCCCC)(CCCCCC)CCCCCC
"1-heptanaminium, N,N,N-trihexyl- iodide",371.15,0.5,[I-].C(CCCCC)[N+](CCCCCCC)(CCCCCC)CCCCCC
"N,N,N-trihexylheptan-1-aminium bromide",381.15,0.5,[Br-].C(CCCCC)[N+](CCCCCCC)(CCCCCC)CCCCCC
"N,N,N-triheptyl-1-heptanaminium bromide",369.15,0.5,[Br-].C(CCCCCC)[N+](CCCCCCC)(CCCCCCC)CCCCCCC
"ammonium, trioctylpropyl-, bromide",351.15,0.5,[Br-].C(CCCCCCC)[N+](CCC)(CCCCCCCC)CCCCCCCC
butyltris(3-methylbutyl)ammonium bromide,395.15,0.5,[Br-].C(CCC)[N+](CCC(C)C)(CCC(C)C)CCC(C)C
tetrapentylammonium nitrate,387.15,0.5,[N+](=O)([O-])[O-].C(CCCC)[N+](CCCCC)(CCCCC)CCCCC
tetrahexylammonium nitrate,345.15,0.5,[N+](=O)([O-])[O-].C(CCCCC)[N+](CCCCCC)(CCCCCC)CCCCCC
"N,N,N-trihexyl-1-hexanaminium tetrafluoroborate",367.15,0.5,F[B-](F)(F)F.C(CCCCC)[N+](CCCCCC)(CCCCCC)CCCCCC
tetrabutylammonium chloride,314.1,1.0,[Cl-].C(CCC)[N+](CCCC)(CCCC)CCCC
tetrapentylammonium bromide,376.15,0.5,[Br-].C(CCCC)[N+](CCCCC)(CCCCC)CCCCC
tetrapentylammonium chloride,295.15,0.5,[Cl-].C(CCCC)[N+](CCCCC)(CCCCC)CCCCC
"1-heptanaminium, N,N,N-trihexyl- perchlorate",376.15,0.5,Cl(=O)(=O)(=O)[O-].C(CCCCC)[N+](CCCCCCC)(CCCCCC)CCCCCC
"N-heptyl-N,N,N-trihexylammonium nitrate",345.15,0.5,[N+](=O)([O-])[O-].C(CCCCCC)[N+](CCCCCC)(CCCCCC)CCCCCC
tetrapentylammonium thiocyanate,322.65,0.5,[S-]C#N.C(CCCC)[N+](CCCCC)(CCCCC)CCCCC
tetraheptylammonium iodide,396.15,0.5,[I-].C(CCCCCC)[N+](CCCCCCC)(CCCCCCC)CCCCCCC
tetrahexylammonium perchlorate,383.15,0.5,Cl(=O)(=O)(=O)[O-].C(CCCCC)[N+](CCCCCC)(CCCCCC)CCCCCC
1-decyl-3-methylimidazolium chloride,311.2,2.0,[Cl-].C(CCCCCCCCC)N1C=[N+](C=C1)C
1-ethyl-3-methylimidazolium hexafluorophosphate,332.8,1.0,F[P-](F)(F)(F)(F)F.C(C)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium hexafluorophosphate,276.4,1.0,F[P-](F)(F)(F)(F)F.C(CCC)N1C=[N+](C=C1)C
1-butyl-3-methylimidazolium chloride,341.95,0.5,[Cl-].C(CCC)N1C=[N+](C=C1)C
1-methyl-3-octylimidazolium chloride,285.41,0.5,[Cl-].CN1C=[N+](C=C1)CCCCCCCC
